id;code;name;town_id;icao;name_eng
438;LKL;Банак;LKL;ENNA;Banak 
439;LLA;Лулеа;LLA;ESPA;Lulea (Kallax AB)
440;LNX;Смоленск;LNX;UUBS;Smolensk
441;LNZ;Линц;LNZ;LOWL;Linz
442;LOS;Лагос;LOS;DNMM;Lagos
443;LPA;Лас-Пальмас;LPA;GCLP;Las Palmas
444;LPK;Липецк;LPK;UUOL;Lipetsk
445;LPL;Ливерпуль;LPL;EGGP;Liverpool
446;LPP;Лапен-ранта;LPP;EFLP;Lappen Ranta
447;LRM;Романа;LRM;MDLR;Casa de Campo-La Rom
448;LRT;Lorient;LRT;LFRH;Lorient
449;LTK;Базель Ал-Ассад межд;LTK;OSLK;Bassel Al-Assad Intl
450;LTN;Лутон;LON;EGGW;Luton
451;LTQ;Le Touquet;LTQ;LFAT;Le Touquet
452;LUN;Лусака;LUN;FLSK;Lusaka
453;LUX;Люксембург;LUX;ELLX;Luxembourg
454;LWN;Ширак;LWN;UDSG;Gyumri
455;LWO;Львов;LWO;UKLL;Lvov
456;LXR;Луксор;LXR;HELX;Luxor
457;LXS;Лемнос;LXS;LGLM;Limnos
458;LYR;Лонгиер;LYR;ENSB;Longyearbyen-Svalbar
459;LYS;Сент Экзюпери;LYS;LFLL;St Exupery
460;MAA;Ченнай;MAA;VOMM;Chennai
461;MAD;Барахас;MAD;LEMD;Barajas
462;MAH;Менорка;MAH;LEMH;Menorca
463;MAN;Манчестер;MAN;EGCC;Manchester
464;MAR;Маракайбо;MAR;SVMC;La Chinita 
465;MBA;Момбаса;MBA;HKMO;Mombasa
466;MBJ;Монтего Бэй;MBJ;;Sangster Intl
467;MBX;Марибор;MBX;LJMB;Maribor
468;MCO;Орландо;ORL;KMCO;Orlando
469;MCT;Маскат;MCT;OOMS;Muscut
470;MCX;Махачкала;MCX;URML;Makhachkala
471;MDE;Меделлин;MDE;SKMD;Medellin
472;MDK;Мбандака;MDK;FZEA;Mbandaka
473;MDL;Мандалай;MDL;VYMD;Mandalay
474;MDQ;Мар-дель-Плата;MDQ;SAZM;Mar del Plata
475;MDZ;Мендоза;MDZ;;Mendoza
476;MED;Медина;MED;OEMA;Madinah
477;MEL;Мельбурн;MEL;YMML;Melbourne
478;MEX;Мехико;MEX;MMMX;Mexico City
479;MFM;Макао;MFM;VMMC;Macau Intl
480;MGA;Аугусто Сесар Сандин;MGA;MNMG;Augusto Cesar Sandin
481;MGO;Манега;MGO;;Manega
482;MGQ;Могадишо;MGQ;HCMM;Mogadishu
483;MHD;Шахид Хашеми Неджад;MHD;OIMM;Shahid Hashemi Nejod
484;MHP;Минск-1;MSQ;UMMM;Minsk-1
485;MIA;Майами;MIA;KMIA;Miami Int
486;MID;Мерида;MID;MMMD;Merida(Lic Manuel Cr
487;MIR;Монастир;MIR;DTMB;Mohastir
488;MJT;Одиссис Елитис ;MJT;LGMT;Odysseas Elytis Airp
489;MJV;Сан-Хавьер;MJV;LELC;Murcia
490;MJZ;Мирный;MJZ;UERR;Mirny
491;MLA;Мальта;MLA;LMML;Malta
492;MLE;Мале;MLE;VRMM;Male
493;MLH;Базель;XXX;LFSB;Basle-Mulhouse
494;MLW;Монровия;MLW;GLMR;Monrovia
495;MMA;Мальме Сити;MMA;;Malmo City Hvc
496;MMK;Мурманск;MMK;ULMM;Murmansk
497;MMX;Стуруп;MMA;ESMS;Sturup
498;MNL;Манила;MNL;RPLL;Manila
499;MOW;Чкаловское;MOW;XUMU;Chkalovskoe
500;MPL;Монпелье;MPL;LFMT;Montpellier
501;MPM;Мапуто;MPM;FQMA;Maputo
502;MPW;Мариуполь;MPW;UKCM;Mariupol
503;MQF;Магнитогорск;MQF;USCM;Magnitogorsk
504;MRS;Марсель;MRS;LFML;Marseille
505;MRU;Маврикий;MRU;FIMP;Mauritius
506;MRV;Минеральные Воды;MRV;URMM;Min. Vody
507;MSP;Миннеаполис;MSP;KMSP;Minneapolis ST Paul 
508;MSQ;Минск-2;MSQ;UMMS;Minsk 2
509;MST;Маастрихт Ахен;MST;EHBK;Maastricht Aachen
510;MUC;Мюнхен;MUC;EDDM;Munich
511;MVD;Монтевидео;MVD;SUMU;Carrasco
512;MWH;Moses Lake;MWH;KMWH;Moses Lake
513;MXP;Малпенса;MIL;LIMC;Malpensa
514;MYS;Мыс Шмидта;MYS;UHMI;Mys Shmidta
515;MZI;Мопти;MZI;;Mopti
516;MZJ;Марана;MZY;KMZJ;Marana
517;NAG;Нагпур;NAG;;Nagpur
518;NAK;Нижнеангарск;NAK;UIUN;Nizhneangarsk
519;NAL;Нальчик;NAL;URMN;Nalchik
520;NAN;Нанди;NAN;NFFN;Nadi
521;NAP;Неаполь;NAP;LIRN;Naples
522;NAS;Нассау;NAS;MYNN;Nassau
523;NBC;Бегишево;NBC;UWKE;Begishevo
524;NBE;Энфида;NBE;;Enfidha
525;NBO;Найроби;NBO;HKJK;Nairoby
526;NCE;Ницца;NCE;LFMN;Nice/Cote D'Azur
527;NCL;Ньюкастл;NCL;EGNT;New Castle
528;NCU;Нукус;NCU;UTNN;Nukus
529;NDB;Нуадибу;NDB;GQPP;Nouadhibou
530;NDJ;Нджамена;NDJ;FTTJ;N'Djamena
531;NER;Нерюнгри;NER;UELL;Neryungri
532;NFG;Нефтеюганск;NFG;USRN;Nefteyugansk
533;NGO;Нагоя;NGO;RJGG;Nagoya
534;NIM;Ниамея;NIM;;Niamey
535;NJC;Нижневартовск;NJC;USNN;Nizhnevartovsk
536;NJG;Нягань;NJG;USHN;Nyagan
537;NKC;Нуакшот;NKC;;Nouakchott
538;NKG;Лакоу;NKG;ZSNJ;Lukou
539;NLV;Николаев;NLV;UKON;Nikolaev
540;NMA;Наманган;NMA;;
541;NNM;Нарьян-Мар;NNM;ULAM;Naruan-Mar
542;NOJ;Ноябрьск;NOJ;USRO;Noyabrxsk
543;NOZ;Новокузнецк;NOZ;UNWW;Novokuznetsk
544;NRT;Нарита;TYO;RJAA;Narita
545;NSK;Норильск;NSK;UOOO;Norilsk
546;NTE;Нант;NTE;LFRS;Nantes-Atlantique
547;NUE;Нюрнберг;NUE;EDDN;Nurnberg
548;NUX;Новый Уренгой;NUX;USMU;Novy Urengoi
549;NVI;Навой;NVI;UTSA;Navoi
550;NVR;Новгород;NVR;ULNN;Novgorod
551;NWI;Норвич;NWI;EGSH;
552;NYM;Надым;NYM;USMM;Nadym
553;NYO;Скавста;STO;ESKN;Skavsta
554;OAK;Окленд;OAK;KOAK;Metropolitan Oakland
555;ODS;Одесса;ODS;UKOO;Odessa
556;OEL;Орел;OEL;UUOR;Orel
557;OGZ;Владикавказ;OGZ;URMO;Vladikavkaz
558;OHA;Оха;OHA;UHSH;Oha
559;OHD;Охрид;OHD;LWOH;Ohrid
560;OKA;Окинава;OKA;ROAH;Naha
561;OLB;Олбиа;OLB;LIEO;Olbia
562;OMH;Урамах;OMH;;Urmich
563;OMS;Центральный;OMS;UNOO;Tsentralny
564;ONT;Онтарио;ONT;KONT;Ontario Int.
565;OPO;Порто;OPO;LPPR;Porto
566;ORB;Оребро;STO;ESOE;Orebro
567;ORD;Охара;CHI;KORD;O'hare
568;ORN;Оран;ORN;DAOO;Oran
569;ORY;Орли;PAR;LFPO;Orli
570;OSD;Ostersund;OSD;ESNZ;Ostersund Froesoe
571;OSK;Старый Оскол;OSK;UUOS;Stariy Oskol
572;OSL;Гардермоен;OSL;ENGM;Gardermoen
573;OSR;Острава;OSR;LKMT;Ostrava
574;OSS;Ош;OSS;UCFO;Osh
575;OST;Остенд;OST;EBOS;Ostend
576;OSW;Орск;OSW;UWOR;Orsk
577;OTP;Отопени;BUH;LROP;Otopeni
578;OUA;Уагадугу;OUA;DFFD;Ouagadougou
579;OUL;Оулу;OUL;EFOU;Oulu
580;OVB;Толмачево;OVB;UNNT;Tolmachevo
581;OXB;Освальдо Виера;OXB;GGOV;Osvaldo Viera
582;OZH;Запорожье;OZH;UKDE;Zaporozhye
583;PAE;Эверет;SEA;KPAE;Everett
584;PAP;Порт о Пренс;PAP;MTPP;Port au Prince Intl
585;PDV;Пловдив;PDV;LBPD;Plovdiv
586;PDX;Портленд;PDX;KPDX;Oreg Int.
587;PED;Пардубице;PED;LKPD;Pardubice
588;PEE;Большое Савино;PEE;USPP;Bolshoye Savino
589;PEK;Пекин Столичный;BJS;ZBAA;Beijing Capital
590;PEN;Пенанг;PEN;WMKP;Penang
591;PER;Перт;PER;;Perth
592;PES;Бессовец;PES;ULPB;Petrozavodsk
593;PEX;Печора;PEX;UUYP;Pechora
594;PEZ;Пенза;PEZ;UWPP;Penza
595;PFO;Пафос;PFO;LCPH;Pafos
596;PGF;Перпиньян;PGF;LFMP;Perpignan
597;PHX;Скай Харбор;PHX;KPHX;Sky Harbor Intl
598;PIK;Прествик;PIK;EGPK;Prestwick
599;PIO;Писко;PIO;SPSO;Pisco
600;PIS;Poitiers;PIS;LFBI;Poitiers
601;PIT;Питсбург;PIT;KPIT;Pittsburgh Internati
602;PKC;Елизово;PKC;UHPP;Yelizovo
603;PKV;Псков;PKV;ULOO;
604;PKX;Дасин;BJS;ZBAD;Beijing Daxing 
605;PLQ;Паланга;PLQ;EYPA;Palanga
606;PLX;Семипалатинск;PLX;UASS;Semipalatinsk
607;PMI;Пальма-де-Мальорка;PMI;LEPA;Palma de Mallorca
608;PMO;Палермо;PMO;LICJ;Palermo(Punt)
609;PMV;Порламар;PMV;;Porlamar
610;PNH;Пном-Пень;PNH;VDPP;Phnm Penh
611;POM;Порт Моресби;POM;;Port Moresby
612;POP;Пуэрто Плата;POP;MDPP;Puerto Plata
613;POS;Пиарко Интл;POS;TTPP;Piarco Intl
614;POW;Порторож;POW;;Portoroz
615;POZ;Лавица;POZ;EPPO;Lawica
616;PRG;Рузыне;PRG;LKPR;Ruzyne
617;PSA;Пиза;PSA;LIRP;Pisa
618;PSR;Пескара;PSR;LIBP;Pescara
619;PTY;Токумен;PTY;MPTO;Tocumen Internationa
620;PUF;По;PUF;LFBP;Pau
621;PUJ;Пунта Кана;PUJ;MDPC;Punta Cana
622;PUS;Кимхе;PUS;RKPK;Kimhae
623;PUY;Пула;PUY;LDPL;Pula
624;PVG;Пудонг;SHA;ZSPD;PuDong
625;PWE;Певек;PWE;UHMP;Pevek
626;PWQ;Павлодар;PWQ;UASP;Pawlodar
627;PYJ;Полярный;PYJ;UERP;Poliarny
628;PYS;Бухта Провидения;PYS;UHMD;Provideniya Bay
629;QMB;Ямбург;QMB;USMQ;Yamburg
630;QPG;Райя Лебар;SIN;WSAP;Paya Lebar
631;QQQ;Старая Русса;QQQ;XLLU;
632;RAK;Менара;RAK;;Menara
633;RAT;Радужный;RAT;USNR;Raduzhny
634;RAX;Раменское;MOW;UUBW;Ramenskoe
635;RBA;Рабат;RBA;GMME;Rabat(Sale)
636;REC;Ресифи;REC;SBRF;Recife
637;REN;Оренбург-Центральный;REN;UWOO;Orenburg-Tsentralny
638;REU;Реус;REU;LERS;Reus Ab
639;RGK;Горно-Алтайск;RGK;UNBG;Gorno-Altaysk
640;RHO;Родос;RHO;LGRP;Diagoras Airport
641;RIX;Рига;RIX;EVRA;Riga
642;RIY;Мукала;RIY;OYRN;Mukala(Rian)
643;RJK;Риека;RJK;LDRI;Rijeka
644;RKT;Рас-эль-Хайма;RKT;OMRK;Ras Al Khaimah
645;RKV;Рейкьявик;REK;BIRK;Reykjavik
646;RMF;Марса Алам;RMF;HEMA;Marsa Alam
647;RMI;Римини;RMI;LIPR;Rimini Mil
648;RNS;Ренн;RNS;LFRN;St Jacques
649;ROV;Платов;ROV;URRP;Platov
650;RSP;Туапсе;RSP;URSP;Tuapse
651;RTM;Роттердам;RTM;EHRD;Rotterdam
652;RTW;Саратов;RTW;UWSS;Saratov
653;RUH;Риад;RUH;OERK;King Khaled
654;RVI;Ростов до 01.03.18;ROV;URRR;Platov
655;RVN;Рованиеми;RVN;EFRO;Rovaniemi
656;RYB;Рыбинск(Староселье);RYB;UUBK;Rybinsk(Staroselye)
657;RZN;Рязань(Турлатово);RZN;UUBR;Ryazan(Turlatovo)
658;SAH;Сана;SAH;OYSN;Saana
659;SAL;Сальвадор;SAL;MSLP;San Salvador
660;SAN;Сан-Диего;SAN;KSAN;San Diego Intl-Lindb
661;SAS;Сасово;SAS;UUBG;Sasovo
662;SAW;Сабиха Гоксен ;IST;LTFJ;Sabina Gokcen
663;SBT;Сабетта;SBT;USDA;Sabetta
664;SCL;Сантьяго(Чили);SCL;SCEL;Santiago(Chile)
665;SCN;Саарбрюкен;SCN;EDDR;Saarbruecken
666;SCO;Актау;SCO;UATE;Aktau
667;SCQ;Сантьяго де Компосте;SCQ;;
668;SCW;Сыктывкар;SCW;UUYY;Syktyvcar
669;SDJ;Сендай;SDJ;RJSS;Sendai
670;SDQ;Санто Доминго;SDQ;MDSD;Las Americas
671;SEA;Сиэтл;SEA;KSEA;Tacoma Int.
672;SEL;Кимпо;SEL;RKSS;Kimpo Int.
673;SEN;Сауфэнд;LON;EGMC;Southend
674;SEW;Севастополь;SEW;UKFB;Sevastopol
675;SEZ;Сейшелы;SEZ;FSIA;Seychelles Int.
676;SFJ;Кангерлуссуак;SFJ;BGSF;Kangerlussuaq
677;SFO;Сан-Франциско;SFO;KSFO;San Francisco Intl
678;SGC;Сургут;SGC;USRR;Surgut
679;SGN;Тансоннхат;SGN;VVTS;Tansonnhat
680;SHA;Хонглао;SHA;ZSSS;Hongqiao
681;SHE;Шеньян;SHE;ZYTX;Shenyang
682;SHJ;Шарджа;SHJ;OMSJ;Sharjah
683;SHP;Циньхуандао;SHP;ZBSH;Qinhuangdao
684;SID;Амилкар Кабрал;SID;GVAC;Amilkar Cabral
685;SIN;Чанги;SIN;WSSS;Changi
686;SIP;Симферополь;SIP;URFF;Simferopol
687;SIR;Сион;SIR;LSGS;Sion
688;SJD;Лос Кабос Интл;SJD;MMSD;Los Cabos Intl
689;SJJ;Сараево;SJJ;LQSA;Sarajevo
690;SJU;Сан-Хуан;SJU;;San Juan
691;SJW;Шидзязуань;SJW;ZBSJ;Daguocun
692;SKD;Самарканд;SKD;UTSS;Samarkand
693;SKG;Салоники;SKG;LGTS;Thessaloniki
694;SKP;Скопье;SKP;LWSK;Skopje
695;SKX;Саранск;SKX;UWPS;Saransk
696;SLC;Солт-Лэйк-Сити;SLC;KSLC;Salt Lake City
697;SLY;Салехард;SLY;USDD;Salehard
698;SMA;Санта-Мария;SMA;LPAZ;Santa Maria
699;SMI;Самос;SMI;;
700;SMV;Самедан;SMV;LSZS;Samedan
701;SNN;Шаннон;SNN;EINN;Shannon
702;SOF;София;SOF;LBSF;Sofia
703;SPN;Сайпан;SPN;;Saipan
704;SPU;Сплит;SPU;LDSP;Split
705;SQQ;Шауляй;SQQ;EYSA;Siauliai
706;SRX;Гардабья;SRX;HLGD;Gardabya
707;SSA;Сальвадор;SSA;;Salvador
708;SSG;Малабо;SSG;FGSL;Malabo
709;SSH;Шарм-эль-Шейх;SSH;HESH;Sharm Al Sheikh Intl
710;STN;Стенстед;LON;EGSS;Stansted
711;STR;Штутгарт;STR;EDDS;Stuttgart
712;STW;Ставрополь;STW;URMT;Stavropol
713;SUB;Сурабайя;SUB;WARR;SURABAYA
714;SUF;Ламеция-Терме;SUF;LICA;Lamenzia-Terme
715;SUI;Бабушеры;SUI;UGSS;Babushara
716;SVG;Ставангер;SVG;ENZV;Stavanger
717;SVL;Саволинна;SVL;EFSA;Savonlinna
718;svo;Шереметьево (B);MOW;UUEE;Sheremetyevo
719;svO;Шереметьево (C);MOW;UUEE;Sheremetyevo
720;Svo;Шереметьево (E);MOW;UUEE;Sheremetyevo
721;SVo;Шереметьево (D);MOW;UUEE;Sheremetyevo
722;SVO;Шереметьево (F);MOW;UUEE;Sheremetyevo
723;SVQ;Сан-Рабло;SVQ;LEZL;San Pablo
724;SVX;Кольцово;SVX;USSS;Koltsovo
725;SXB;Страсбург;SXB;LFST;Strasbourg-Entzhim
726;SXF;Шенефельд;BER;EDDB;Schonefeld
727;SYD;Сидней;SYD;YSSY;Sydney
728;SYX;Феникс Межд.;SYX;ZJSY;Phoenix Int.
729;SZG;Зальцбург;SZG;LOWS;Salzburg
730;SZZ;Щецин;SZZ;EPSC;Szczecin
731;TAG;Таганрог;TAG;URRT;Taganrog
732;TAO;Куаньдян;TAO;ZSQD;Qingdao
733;TAS;Южный;TAS;UTTT;Yuzhny
734;TAT;Татры/Попрад;TAT;LZTT;Poprad/Tatry
735;TBS;Лочини;TBS;UGTB;Lochini
736;TBW;Тамбов;TBW;UUOT;Tambov
737;TCP;Таба;TCP;;Ras An Naqp
738;TEQ;Текирдаг;TEQ;LTBU;Tekirdag
739;TEV;Теруэль;TEV;LETL;Teruel
740;TFN;Тенерифе северный;TCI;GCXO;Tenerife-north
741;TFS;Тенерифе южный (Рейн;TCI;GCTS;Tenerife South
742;TGD;Подгорица;TGD;LYPG;Podgorica
743;THR;Мехрабад;THR;OIII;Mehrabad Intl
744;TIP;Триполи;TIP;HLLT;Tripoli
745;TIV;Тиват;TIV;LYTV;Tivat
746;TJM;Рощино;TJM;USTR;Roschino
747;TKU;Турку;TKU;EFTU;Turku
748;TL1;Тулуза 1;TLS;;Toulouse
749;TLL;Таллин;TLL;EETN;Lennart Meri
750;TLN;Тулон;TLN;LFTH;Toulon
751;TLS;Тулуза;TLS;LFBO;Toulouse(Blag)
752;TLV;Тель-Авив;TLV;LLBG;Tel Aviv Yafo
753;TMJ;Термез;TMJ;UTST;Termez
754;TMP;Тампере;TMP;EFTP;Tampere
755;TMS;Салазар;SOM;FPST;Salazar
756;TNA;Цзинань;TNA;ZSJN;Jinan
757;TNG;Танжер;TNG;;Tangier
758;TNN;Тайнань;TNN;ZBYN;Tainan
759;TNR;Антананариву;TNR;FMMI;Antananarivo
760;TOF;Томск Богашево;TOF;UNTT;Tomsk
761;TOJ;Torrejon Afb;MAD;LETO;Torrejon Afb
762;TOS;Тромсо;TOS;ENTC;Tromso
763;TOY;Тояма;TOY;;Toyama
764;TPE;Тайбей;TPE;RCTP;Taipei (Chiang Kai S
765;TPS;Трапани;TPS;LICT;Trapani
766;TRD;Трондхейм;TRD;ENVA;Trondheim
767;TRN;Турин;TRN;LIMF;Torino(Cas)
768;TRS;Триест;TRS;LIPQ;Trieste
769;TRV;Тривандрам;TRV;;Trivandrum
770;TSE;Нурсултан Назарбаев;TSE;UACC;Nursultan Nazarbaev 
771;TSF;Тревизо;TSF;LIPH;Venice-Treviso-Sant'
772;TSN;Бинхай;TSN;ZBTJ;Binghai
773;TUF;Тур;TUF;LFOT;Tours
774;TUN;Карфаг;TUN;DTTA;Carfag
775;TXL;Тегель;BER;EDDT;Tegel
776;TYA;Клоково;TYA;UUBT;Klokovo
777;TYD;Тында;TYD;UHBW;Tinda
778;TYL;Кэрт. Монтес;TYL;SPYL;Cart. Montes
779;TYN;Тайюань;TYN;ZBYN;Taiyun Wusu
780;TZX;Трабзон;TZX;LTCG;Trabzon
781;UCT;Ухта;UCT;UUYH;Ukhta
782;UFA;Уфа;UFA;UWUU;Ufa
783;UGC;Ургенч;UGC;;
784;UII;Белая;IKT;UIIB;Irkutsk
785;UIK;Усть-Илимск;UIK;;
786;UIP;Quimper;UIP;LFRO;Quimper
787;UKK;Усть-Каменогорск;UKK;UASK;Ust-Kamenogorsk
788;ULG;Улгий;ULG;ZMUL;Ulgii
789;ULN;Буянт-Уха;ULN;ZMUB;Buyant-Ukhaa
790;ULV;Баратаевка;ULY;UWLL;Ulyanovsk
791;ULY;Восточный;ULY;UWLW;Ulyanovsk
792;UME;Умеа;UME;ESNU;Umea
793;URA;Уральск;URA;UARR;Uralsk
794;URC;Урумчи;URC;ZWWW;Urumqi (Diwopu)
795;URJ;Урай;URJ;USHU;Uraj
796;URS;Курск;URS;UUOK;Kursk
797;URT;Сурат;URT;VTSB;Surat Thani
798;USK;Усинск;USK;UUYS;Usinsk
799;UTP;Утапао;UTP;VTBU;U-taphao
800;UUA;Бугульма;UUA;UWKB;Bugulma
801;UUD;Улан-Удэ;UUD;UIUU;Ulan Ude
802;UUS;Хомутово;UUS;UHSS;Khomytovo
803;UVF;Хеванора Интл;UFF;TLPL;Hewanorra Intl
804;VAA;Вааса;VAA;EFVA;Vaasa
805;VAE;Варлос;CPH;EKVL;Vaerlose
806;VAR;Варна;VAR;LBWN;Varna
807;VBS;Брешиа;VBS;LIPO;Brescia
808;VCE;Тессера;VCE;LIPZ;Tessera
809;VCV;Викторвиль;VCV;KVCV;Southern California 
810;VDA;Овда;VDA;LLOV;Ovda
811;VGD;Вологда;VGD;ULWW;Vologda
812;VHY;Виши;VHY;LFLV;Vichy
813;VIE;Швеха;VIE;LOWW;Vienna/Schwechat
814;VIT;Витороя;VIT;LEVT;Vitoria
815;VKO;Внуково;MOW;UUWW;Vnukovo
816;VKT;Воркута;VKT;UUYW;Vorkuta
817;VLC;Валенсия;VLC;LEVC;Valencia
818;VNK;Внуково 2;MOW;UUWW;Vnukovo 2
819;VNO;Вильнюс;VNO;EYVI;Vilnius INTL
820;VOG;Гумрак;VOG;URWW;Gumrak
821;VOZ;Воронеж;VOZ;UUOO;Voronezh
822;VRA;Варадеро;VRA;MUVR;Juan Gualberto Gomez
823;VRN;Верона;VRN;LIPX;Verona
824;VSG;Луганск;VSG;UKCW;Lugansk
825;VST;Хассло;VST;ESOW;Hasslo
826;VTE;Вантей;VTE;VLVT;Wattay
827;VVO;Кневичи;VVO;UHWW;Knevichi
828;WAW;Окенце;WAW;EPWA;Okecie
829;WDH;Виндхук;WDH;;Windhoek
830;WLG;Веллингтон;WLG;;Wellington
831;WOE;Вонсдрехт;WOE;EHWO;Woensdrecht
832;WRO;Страховице;WRO;EPWR;Strachowice
833;WUH;Тианьхэ;WUH;ZHHH;Tianhe
834;XFW;Финкенвердер;HAM;EDHI;Finkenwerder
835;XHW;Воздвиженка;VVO;XHWV;Vladivostok
836;XIY;Синьян;XIY;ZLXY;Xianyang
837;XLK;Кречевицы;NVR;ULLK;Krechevitsy
838;XLW;Лемвердер;XLW;EDWD;Lemwerder
839;XMN;Сямынь;XMN;ZSAM;Xiamen
840;XRM;Буденовск;XRM;XRMB;
841;XRY;Херес;XRY;LEJR;Jerez
842;XXX;Хурба;KXK;UHKK;Hurba
843;YAO;Яунде;YAO;FKYS;Yaounde
844;YEG;Эдмонтон;YEA;;Edmonton
845;YEI;Енишихир;YEI;;
846;YEL;Елахан;YEL;VOYK;
847;YFB;Икалуит;YFB;CYFB;Ikaluit
848;YGK;Кингстон;YGK;CYGK;Kingston
849;YHZ;Галифакс;YHZ;;Halifax
850;YJT;Стефенвиль;YJT;;Stephenvil
851;YKS;Якутск;YKS;UEEE;Yakutsk
852;YMX;Мирабел;YMQ;CYMX;Mirabel
853;YNT;Янтай;YNT;ZSYT;Yantai
854;YOW;Оттава;YOW;CYOW;Ottawa
855;YQX;Гандер;YQX;CYQX;Gander
856;YUL;Дорвал;YMQ;CYUL;Dorval
857;YVR;Ванкувер;YVR;;Vancouver
858;YWG;Виннипег;YWG;;Winnipeg
859;YYC;Калгари;YYC;;Calgary
860;YYR;Гус-Бей;YYR;CYYR;Goose Bay
861;YYZ;Пирсон;YTO;CYYZ;Pearson Int.
862;ZAD;Задар;ZAD;LDZD;Zadar
863;ZAG;Загреб;ZAG;LDZA;Zagreb
864;ZAZ;Сарагоса;ZAZ;LEZG;Zaragoza
865;ZEY;Зея;ZEY;UHBE;Zeiy
866;ZIA;Жуковский;MOW;UUBW;Zhukovsky
867;ZRH;Цюрих;ZRH;LSZH;Zurich
868;ZTH;Закинтос;ZTH;;
869;ZUH;Джохай/Санзао;ZUH;ZGSD;Zhuhai/Sanzao